objectid,filename,img_thumb,institution,display_template,format,parentid,prefix,subject,title,collection-name,date,date-descriptive,place,photographer,description,usage,maori-fashion-keyword,Flickr account (if applicable)
maori-glass-bw-01,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE7849,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE7849,The National Library of New Zealand,image,image/jpeg,,maori-glass-bw,woman (wahine); portrait,Maori woman from Hawkes Bay district,"Carnell, Samuel 1832-1920 :Maori portrait negatives
https://natlib.govt.nz/records/23216932",1870,"
[Between 1870 and 1880]",Napier ,"Carnell, Samuel, 1832-1934","Carte de visite portrait of a Maori woman from the Hawkes Bay district, taken, probably in the 1870s, by Samuel Carnell of Napier. Dated from Carnell's use of the wet collodion process early in his career.",Partly restricted - Please use surrogate in place of original,,
maori-glass-bw-02,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE138242,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE138242,The National Library of New Zealand,image,image/jpeg,,maori-glass-bw,woman (wahine); portrait; cloak,"Mary Metikingi, possibly from Wanganui - Photographer unidentified","National Publicity Studios: Maori portraits
https://natlib.govt.nz/records/23088342",1900,ca 1900,"Mary Metikingi, possibly from Wanganui ",unidentified,"
Portrait of Mary Metikingi, possibly of Wanganui. She wears a white tipped feather in her hair, ear adornments made of ribbon and teeth, a tiki and a pendant around her neck, and a kahu huruhuru (Maori feather cloak). She has a facial moko. Photograph taken circa 1900 by an unidentified photographer.",Partly restricted - Please use surrogate in place of original,,
maori-film-bw-03,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE234736,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE234736,The National Library of New Zealand,image,image/jpeg,,maori-film-bw,woman (wahine); portrait; cloak,"Unidentified Maori woman, probably from Hawkes Bay","Parsons, Patrick :Maori portraits
https://natlib.govt.nz/records/22735902",1910,ca 1910,probably from Hawkes Bay,"Carnell, Samuel, 1832-1934","Unidentified Maori woman wearing a pihepihe (a dress cape with cylindrical tags of flax), circa 1910, probably taken by Samuel Carnell in his Napier studio.",Partly restricted - Please use surrogate in place of original,,
maori-film-bw-04,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE223011,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE223011,The National Library of New Zealand,image,image/jpeg,,maori-film-bw,woman (wahine); portrait; cloak,Young Maori woman wearing a cloak,"Parsons, Patrick :Maori portraits
 https://natlib.govt.nz/records/22494776?search%5Bpage%5D=1&search%5Bpath%5D=photos&search%5Btext%5D=maori+portraits",,ca 1890s,,unidentified,"Portrait photograph of a young Maori woman wearing a cloak, taken circa 1890s by an unidentified photographer.",Partly restricted - Please use surrogate in place of original,,
maori-glass-bw-05,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE37339,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE37339,The National Library of New Zealand,image,image/jpeg,,maori-glass-bw,woman (wahine); portrait; cloak,Maori woman from Hawkes Bay district,"
Carnell, Samuel 1832-1920 :Maori portrait negatives / Carnell, Samuel 1832-1920 :Maori portrait negatives",,Between 1880 and 1890,Hawkes Bay district,,"Carte de visite portrait of a Maori woman from the Hawkes Bay district, wearing a korowai (tag cloak), taken, probably in the 1880s, by Samuel Carnell of Napier.

Dated from Carnell's use of the wet collodion process early in his career.

The korowai appears in other portraits by Carnell, and was probably owned by the studio.",Partly restricted - Please use surrogate in place of original,,
maori-glass-bw-06,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE2276,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE2276,The National Library of New Zealand,image,image/jpeg,,maori-glass-bw,woman (wahine); portrait; cloak,Maori woman from Hawkes Bay district,"Carnell, Samuel 1832-1920 :Maori portrait negatives / Carnell, Samuel 1832-1920 :Maori portrait negatives",1880,05-11-1889,Hawkes Bay district,"Carnell, Samuel, 1832-1934","Carte de visite portrait of an unidentified Maori woman from the Hawkes Bay district, taken 11 May 1889 by Samuel Carnell of Napier.",Partly restricted - Please use surrogate in place of original,,
maori-glass-bw-07,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE3784,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE3784,The National Library of New Zealand,image,image/jpeg,,maori-glass-bw,woman (wahine); portrait; cloak,"Mary, a Maori woman from the Hawkes Bay district","Carnell, Samuel 1832-1920 :Maori portrait negatives / Carnell, Samuel 1832-1920 :Maori portrait negatives",1880,11-06-1880,Hawkes Bay district,"Carnell, Samuel, 1832-1934","Carte de visite portrait of Mary, a Maori woman from Hawkes Bay, wearing a korowai (tag cloak), taken on 8 November 1880 by Samuel Carnell of Napier.

Inscriptions: Marginal notes on negative - centre right - Mary 6-11-80

The korowai appears in other portraits by Carnell, and was presumably owned by the studio. The woman's moko has been accentuated with greasepaint.",Partly restricted - Please use surrogate in place of original,,
maori-glass-bw-08,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE339714,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE339714,The National Library of New Zealand,image,image/jpeg,,maori-glass-bw,woman (wahine); portrait; cloak,Maori woman from Hawkes Bay district,"Carnell, Samuel 1832-1920 :Maori portrait negatives / Carnell, Samuel 1832-1920 :Maori portrait negatives",1870,Between 1870 and 1880,Hawkes Bay district,"Carnell, Samuel, 1832-1934","Carte de visite portrait of a Maori woman wearing a korowai (tag cloak), probably associated with the Pai Marire party who executed Carl Sylvius Volkner at Opotiki in 1864, taken in the 1870s by Samuel Carnell of Napier.

Dated from Carnell's use of the wet collodion process early in his career.

An original print from a negative made at the same sitting (located at PA2-2936) bears the inscription ""this lady used to boast of having swallowed the missionary's eye after being murdered by Kereopa"".",Partly restricted - Please use surrogate in place of original,,
maori-glass-bw-09,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE18801,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE18801,The National Library of New Zealand,image,image/jpeg,,maori-glass-bw,woman (wahine); portrait; piupiu,Meretene Panapa,"Carnell, Samuel 1832-1920 :Maori portrait negatives / Carnell, Samuel 1832-1920 :Maori portrait negatives",1890,12-21-1893,,"Carnell, Samuel, 1832-1934","Carte de visite portrait of Meretene Panapa taken 21 December 1893 by Samuel Carnell of Napier.

Probably a relative of Fanny Panapa, whose portrait (negative number 1/4-022067-G) was taken on the same day.",Partly restricted - Please use surrogate in place of original,,
maori-glass-bw-010,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE83395,https://thumbnailer.digitalnz.org/?resize=664%3E&src=https%3A%2F%2Fndhadeliver.natlib.govt.nz%2FNLNZStreamGate%2Fget%3Fdps_pid%3DIE83395,The National Library of New Zealand,image,image/jpeg,,maori-glass-bw,woman (wahine); portrait; cloak,Portrait of Tangiora,"Carnell, Samuel 1832-1920 :Maori portrait negatives / Carnell, Samuel 1832-1920 :Maori portrait negatives",1880,12-5-1881,Hawkes Bay district,"Carnell, Samuel, 1832-1934","Carte de visite portrait of a young Maori woman from Hawkes Bay, taken 5 December 1881 by Samuel Carnell of Napier.

The name attributed to the person in this photograph is based on the likely match to the person in 1/4-022171-G and 1/4-022203-G.

Inscriptions: Marginal notes on negative - centre left - [name indecipherable] 5/12/81

The person in this photograph was identified in the Facial Recognition project results as a likely match to the person depicted and identified in photograph 1/4-022171-G and 1/4-022203-G.

Processing information: The photograph described in this record was included in a Library Facial Recognition project conducted in 2018. The project used an open source Python algorithm and verification by staff to find facial matches across a dataset of digitised carte-de-visite photographs held by the Library.

This record was previously titled ""Young Maori woman from Hawkes Bay District"". The descriptive title was updated in October 2019 using information generated by the project.",Partly restricted - Please use surrogate in place of original,,
